iter	Passed	Remaining
0	62	61995
1	119	59571
2	172	57327
3	232	57842
4	295	58809
5	359	59607
6	408	57937
7	471	58477
8	530	58407
9	583	57769
10	642	57738
11	699	57606
12	758	57588
13	816	57488
14	882	57957
15	934	57486
16	1001	57901
17	1057	57702
18	1110	57321
19	1164	57076
20	1230	57344
21	1292	57463
22	1342	57017
23	1395	56748
24	1451	56613
25	1509	56534
26	1555	56070
27	1612	55981
28	1669	55891
29	1728	55875
30	1780	55665
31	1842	55736
32	1894	55510
33	1950	55423
34	2007	55361
35	2064	55284
36	2122	55246
37	2176	55110
38	2231	54988
39	2301	55239
40	2358	55168
41	2415	55096
42	2472	55030
43	2531	54995
44	2588	54939
45	2637	54701
46	2695	54660
47	2754	54634
48	2810	54543
49	2869	54524
50	2937	54655
51	2988	54481
52	3041	54339
53	3097	54266
54	3154	54203
55	3208	54082
56	3268	54066
57	3323	53984
58	3378	53884
59	3428	53718
60	3507	53990
61	3562	53898
62	3620	53847
63	3688	53940
64	3740	53803
65	3797	53735
66	3880	54034
67	3966	54365
68	4042	54543
69	4122	54766
70	4209	55082
71	4290	55303
72	4357	55335
73	4425	55379
74	4509	55616
75	4583	55726
76	4667	55944
77	4753	56183
78	4829	56306
79	4902	56376
80	4974	56442
81	5036	56385
82	5110	56463
83	5177	56461
84	5263	56660
85	5344	56805
86	5415	56829
87	5487	56874
88	5568	57001
89	5636	56987
90	5701	56949
91	5767	56922
92	5840	56964
93	5916	57025
94	5987	57041
95	6070	57168
96	6146	57222
97	6204	57103
98	6261	56987
99	6317	56857
100	6379	56785
101	6443	56723
102	6508	56680
103	6567	56582
104	6623	56454
105	6687	56399
106	6746	56306
107	6814	56284
108	6868	56145
109	6926	56040
110	6989	55976
111	7056	55944
112	7118	55880
113	7182	55824
114	7252	55815
115	7330	55863
116	7396	55822
117	7491	55996
118	7568	56030
119	7639	56019
120	7722	56102
121	7813	56234
122	7895	56293
123	7987	56430
124	8079	56553
125	8167	56652
126	8260	56783
127	8364	56981
128	8446	57028
129	8539	57146
130	8638	57303
131	8733	57426
132	8814	57462
133	8895	57487
134	8979	57537
135	9056	57537
136	9139	57575
137	9219	57585
138	9288	57533
139	9384	57649
140	9481	57763
141	9566	57804
142	9647	57819
143	9764	58042
144	9834	57989
145	9901	57914
146	9967	57839
147	10025	57715
148	10105	57715
149	10176	57667
150	10252	57644
151	10325	57604
152	10418	57674
153	10481	57579
154	10574	57645
155	10634	57533
156	10695	57426
157	10754	57312
158	10824	57252
159	10873	57088
160	10932	56973
161	10987	56837
162	11045	56718
163	11110	56637
164	11181	56583
165	11257	56558
166	11346	56597
167	11422	56567
168	11477	56438
169	11540	56343
170	11613	56300
171	11707	56358
172	11769	56263
173	11832	56170
174	11894	56075
175	11960	55994
176	12018	55884
177	12073	55753
178	12121	55596
179	12181	55494
180	12244	55406
181	12306	55312
182	12357	55168
183	12419	55075
184	12477	54968
185	12540	54882
186	12599	54777
187	12658	54675
188	12719	54579
189	12776	54468
190	12835	54367
191	12889	54244
192	12947	54138
193	13002	54019
194	13063	53929
195	13123	53833
196	13179	53719
197	13220	53550
198	13255	53355
199	13311	53246
200	13371	53153
201	13427	53043
202	13480	52927
203	13543	52844
204	13605	52761
205	13675	52712
206	13726	52586
207	13784	52487
208	13837	52371
209	13875	52197
210	13935	52110
211	13992	52010
212	14039	51872
213	14099	51784
214	14151	51667
215	14211	51582
216	14262	51464
217	14325	51386
218	14390	51320
219	14453	51244
220	14510	51148
221	14574	51074
222	14634	50991
223	14683	50869
224	14739	50768
225	14794	50668
226	14853	50581
227	14908	50479
228	14969	50400
229	15030	50320
230	15101	50272
231	15155	50168
232	15236	50155
233	15310	50118
234	15377	50057
235	15454	50029
236	15525	49984
237	15591	49918
238	15657	49855
239	15736	49833
240	15831	49859
241	15897	49795
242	15959	49716
243	16016	49625
244	16073	49531
245	16135	49455
246	16194	49370
247	16255	49290
248	16325	49238
249	16390	49170
250	16442	49065
251	16506	48994
252	16575	48941
253	16633	48853
254	16709	48818
255	16786	48786
256	16834	48670
257	16892	48583
258	16951	48497
259	17024	48454
260	17091	48393
261	17152	48315
262	17230	48283
263	17298	48227
264	17350	48122
265	17409	48039
266	17471	47965
267	17535	47894
268	17611	47858
269	17662	47755
270	17727	47688
271	17787	47608
272	17838	47503
273	17900	47430
274	17961	47352
275	18018	47264
276	18071	47169
277	18131	47089
278	18193	47014
279	18247	46923
280	18309	46850
281	18379	46797
282	18451	46747
283	18510	46667
284	18563	46570
285	18625	46499
286	18690	46434
287	18752	46360
288	18817	46295
289	18884	46233
290	18943	46153
291	19007	46086
292	19065	46003
293	19133	45945
294	19193	45869
295	19264	45817
296	19328	45751
297	19397	45694
298	19469	45646
299	19531	45572
300	19595	45504
301	19655	45428
302	19722	45369
303	19789	45307
304	19844	45219
305	19911	45158
306	19993	45131
307	20059	45067
308	20120	44993
309	20185	44930
310	20254	44872
311	20311	44790
312	20377	44727
313	20431	44637
314	20496	44571
315	20564	44512
316	20628	44444
317	20678	44347
318	20735	44265
319	20798	44195
320	20864	44133
321	20915	44039
322	20979	43971
323	21038	43894
324	21095	43813
325	21148	43724
326	21212	43656
327	21263	43564
328	21320	43482
329	21365	43378
330	21423	43299
331	21472	43204
332	21530	43125
333	21597	43065
334	21633	42943
335	21695	42873
