iter	Logloss
0	0.6145183521
5	0.3969219104
10	0.3098394292
15	0.2700758586
20	0.2494945645
25	0.2380617782
30	0.2308108618
35	0.2257732003
40	0.2229605713
45	0.2210133094
50	0.2193770001
55	0.2181488848
60	0.217436728
65	0.216709158
70	0.2160147955
75	0.2152957257
80	0.2146592011
85	0.2140582268
90	0.2134922394
95	0.2125781491
100	0.2119381552
105	0.2112824282
110	0.2108723523
115	0.210343733
120	0.2098125278
125	0.2094380533
130	0.2090434675
135	0.2086876323
140	0.2081767433
145	0.2079102766
150	0.2073835775
155	0.207039123
157	0.2069905663
