iter	Passed	Remaining
0	5	848
1	9	744
2	13	692
3	17	664
4	21	645
5	26	660
6	30	654
7	36	683
8	40	667
9	44	659
10	51	690
11	55	670
12	59	664
13	63	648
14	66	631
15	71	632
16	78	653
17	82	638
18	85	625
19	89	614
20	95	624
21	101	627
22	104	614
23	110	616
24	113	603
25	117	596
26	121	587
27	126	588
28	130	581
29	136	583
30	141	578
31	146	577
32	149	568
33	153	560
34	157	552
35	162	552
36	182	597
37	191	604
38	198	605
39	202	598
40	211	602
41	214	593
42	218	584
43	222	577
44	230	577
45	235	573
46	239	565
47	244	559
48	250	557
49	254	550
50	259	544
51	263	536
52	267	529
53	271	523
54	277	518
55	286	522
56	292	519
57	298	514
58	301	506
59	305	498
60	311	495
61	314	487
62	318	480
63	323	475
64	327	468
65	331	462
66	335	455
67	341	451
68	346	446
69	349	439
70	354	433
71	357	426
72	360	419
73	363	412
74	367	406
75	373	402
76	380	400
77	387	397
78	391	391
79	398	388
80	404	384
81	407	378
82	411	371
83	414	365
84	418	359
85	426	356
86	429	350
87	433	344
88	439	340
89	443	335
90	449	330
91	452	324
92	455	318
93	459	312
94	462	306
95	467	301
96	471	296
97	479	293
98	487	290
99	491	285
100	498	281
101	501	275
102	504	269
103	507	263
104	510	257
105	514	252
106	518	247
107	523	242
108	526	236
109	530	231
110	537	227
111	540	222
112	546	217
113	549	212
114	552	206
115	556	201
116	559	196
117	564	191
118	569	186
119	575	182
120	580	177
121	584	172
122	589	167
123	593	162
124	597	157
125	605	153
126	609	148
127	613	143
128	617	138
129	623	134
130	628	129
131	633	124
132	639	120
133	645	115
134	649	110
135	654	105
136	658	100
137	662	96
138	666	91
139	670	86
140	676	81
141	683	77
142	691	72
143	695	67
144	699	62
145	710	58
146	713	53
147	717	48
148	724	43
149	731	39
150	736	34
151	740	29
152	748	24
153	766	19
154	774	14
155	780	10
156	788	5
157	796	0
